date,close,trend,funding,f,deploy_usd,forced_usd,cash_after,btc_after,value_after,phase
2020-03-08 00:00:00+00:00,8033.31,Down,Neutral,0.5,0.0,0.0,0.0,0.0,0.0,live
2020-03-15 00:00:00+00:00,5361.3,Down,Cold,0.65,0.0,0.0,0.0,0.0,0.0,live
2020-03-22 00:00:00+00:00,5816.19,Down,Cold,0.65,0.0,0.0,0.0,0.0,0.0,live
2020-03-29 00:00:00+00:00,5881.42,Down,Cold,0.65,32.5,5.0081,12.491875,0.006371015311778448,49.962491875000005,live
2020-04-05 00:00:00+00:00,6772.78,Down,Cold,0.65,8.1197,0.0,4.37215625,0.007568691750589395,55.63324036455684,live
2020-04-12 00:00:00+00:00,6903.79,Down,Neutral,0.5,2.1861,0.0,2.186078125,0.007885024090778625,56.62262859267656,live
2020-04-19 00:00:00+00:00,7120.74,Down,Cold,0.65,1.421,0.0,0.7651273437499999,0.008084375538868115,58.33186361838974,live
2020-04-26 00:00:00+00:00,7693.1,Down,Neutral,0.5,25.3826,0.0,25.382563671875,0.011380469585247743,112.93365423814443,live
2020-05-03 00:00:00+00:00,8894.16,Up,Neutral,0.85,21.5752,0.0,3.8073845507812507,0.013803812986082973,126.58070585908098,live
2020-05-10 00:00:00+00:00,8722.77,Up,Hot,0.7,2.6652,0.0,1.1422153652343754,0.014109049054024846,124.21220518221068,live
2020-05-17 00:00:00+00:00,9680.04,Up,Neutral,0.85,0.9709,0.0,0.17133230478515638,0.014209246178973583,137.7174036870966,live
2020-05-24 00:00:00+00:00,8720.34,Up,Neutral,0.85,0.1456,0.0,0.02569984571777345,0.014225929797571975,124.08064449667657,live
2020-05-31 00:00:00+00:00,9448.27,Up,Neutral,0.85,42.5218,0.0,7.503854976857667,0.018721919330469666,184.3936037293543,live
2020-06-07 00:00:00+00:00,9746.99,Up,Neutral,0.85,6.3783,0.0,1.12557824652865,0.019375649195135444,189.97983719502187,live
2020-06-14 00:00:00+00:00,9342.1,Up,Neutral,0.85,0.9567,0.0,0.16883673697929746,0.019477958608226698,182.13387385089393,live
2020-06-21 00:00:00+00:00,9294.69,Up,Neutral,0.85,0.1435,0.0,0.025325510546894636,0.0194933832985828,181.2102803220515,live
2020-06-28 00:00:00+00:00,9116.35,Up,Neutral,0.85,42.5215,0.0,7.503798826582035,0.024153033833860724,227.69130881789826,live
2020-07-05 00:00:00+00:00,9069.41,Up,Neutral,0.85,6.3782,0.0,1.1255698239873055,0.02485559891511652,226.55118718073425,live
2020-07-12 00:00:00+00:00,9302.75,Up,Neutral,0.85,0.9567,0.0,0.1688354735980958,0.02495834032126404,232.35003589723715,live
2020-07-19 00:00:00+00:00,9208.99,Up,Neutral,0.85,0.1435,0.0,0.025325321039714382,0.0249739084392016,230.00979839856285,live
